Participant ID,Video file,Gloss,ASL-LEX Code
P1,7552681133614059-ALASKA.mp4,ALASKA,H_02_087
P1,6585783944135442-EXPERIMENT.mp4,EXPERIMENT,H_03_002
P1,7721480534101262-EVERY NIGHT.mp4,EVERYNIGHT,J_02_058
P1,2911495969703426-GET TOGETHER.mp4,GETTOGETHER,J_02_073
P1,7054386695414354-STORY 3.mp4,STORY1,H_03_007
P1,07792809391288658-SQUEEZE.mp4,SQUEEZE,H_03_019
P1,7958435331951532-REMOVE.mp4,REMOVE,J_02_092
P1,0020443210100780096-KNOCK OFF.mp4,KNOCKOFF,H_03_035
P1,44178831586926837-MOSQUITO.mp4,MOSQUITO,H_03_053
P1,9533248897839621-BETWEEN.mp4,BETWEEN,J_03_003
P1,81146496428304-TOY 3.mp4,TOY1,H_03_070
P1,8058014641528197-SPICY.mp4,SPICY,J_03_036
P1,008279096911288919-JEWELRY.mp4,JEWELRY,H_03_040
P1,6743634201232205-BULLSHIT.mp4,BULLSHIT,J_03_053
P1,31263202270120893-ADVANTAGE.mp4,ADVANTAGE,H_03_059
P1,4923163326429678-WHISPER.mp4,WHISPER,H_03_075
P1,8212971647934255-SIGN PAPER.mp4,SIGNPAPER,H_03_094
P1,4066959996902433-THERAPY.mp4,THERAPY,H_03_088
P1,3628340866937836-DONT FEEL_LIKE.mp4,DONTFEELLIKE,J_01_005
P1,6742655874522336-COMMUNITY.mp4,COMMUNITY,J_01_015
P1,19749527870729988-CLIENT.mp4,CLIENT,J_01_031
P1,7809503445047001-BREAKFAST.mp4,BREAKFAST1,J_01_053
P1,2002285518954443-TURN.mp4,TURN,J_01_065
P1,6796499805319471-CORNER.mp4,CORNER,J_03_071
P1,5290373884784241-HATBRIM.mp4,HATBRIM,J_03_106
P1,5064877659011977-GOODY GOODY_SHOE_OPPOSITE.mp4,GOODYGOODYSHOEOPPOSITE,J_01_072
P1,7069069415498499-CASTLE 2.mp4,CASTLE2,K_01_017
P1,5837296033724944-LEND.mp4,LEND,J_01_088
P1,8684706324228275-SOPHOMORE.mp4,SOPHOMORE,J_01_107
P1,19379537971333316-SUPERVISOR.mp4,SUPERVISOR,J_02_010
P1,24683104585018412-SWEAR IN.mp4,SWEARIN,J_02_016
P1,35976901957453444-INSTITUTE.mp4,INSTITUTE,J_02_047
P1,031670126370264784-LICK ENVELOPE.mp4,LICKENVELOPE1,K_01_035
P1,4409418046134761-PERCEIVE.mp4,PERCEIVE,J_02_063
P1,6069671516966564-STUMBLE.mp4,STUMBLE,J_02_079
P1,010850214999561736-CELEBRATE.mp4,CELEBRATE,J_02_100
P1,13244724399416663-TOSS.mp4,TOSS,J_03_009
P1,038446216989295845-WIDE.mp4,WIDE,J_02_052
P1,9076828716002219-PEEL 2.mp4,PEEL1,K_01_052
P1,49288220098651747-DOG.mp4,DOG1,A_01_056
P1,6750594223002664-FLOAT 3.mp4,FLOAT1,K_01_082
P1,31649691891683207-THEORY.mp4,THEORY,J_03_042
P1,6343693205934693-SHORT WORD.mp4,SHORTWORD,J_02_087
P1,27469263568791-LABEL.mp4,LABEL,J_02_105
P1,13187210101793911-FIRED.mp4,FIRED,J_03_058
P1,8450645349294537-ADVERTISE.mp4,ADVERTISE,J_03_015
P1,45613794376693106-DEMOTE.mp4,DEMOTE,J_03_031
P1,7568259630004095-INHALE.mp4,INHALE,J_03_048
P40,654679171689897-APPLE.mp4,APPLE,A_03_054
P40,5868753228914183-IMPOSSIBLE.mp4,IMPOSSIBLE,B_01_032
P40,5662880671112962-PARK.mp4,PARK,E_03_028
P40,23750861250634614-STINK.mp4,STINK,H_01_064
P40,15747884716509963-ROSE.mp4,ROSE,G_03_024
P40,5460269220331138-HUG.mp4,HUG,G_02_036
P40,10215603974987486-TUBE.mp4,TUBE,G_03_042
P40,8675914629662917-COUNT.mp4,COUNT,G_02_054
P40,18199086230023087-NICE.mp4,NICE,G_03_059
P40,6022620990262424-EASY TO_DO.mp4,EASYTODO,G_02_073
P40,4713001664096925-INFLUENCE.mp4,INFLUENCE,H_02_031
P40,4499250795706189-CIRCUSWHEEL.mp4,CIRCUSWHEEL,H_02_065
P40,27103930782829466-NOSE.mp4,NOSE,G_03_075
P40,9121237989915896-GYM.mp4,GYM,G_03_003
P40,6416278179941874-WEAVE.mp4,WEAVE,H_02_081
P40,8801673159859185-SMOOTH.mp4,SMOOTH,H_02_101
P40,8875256912597131-BACKPACK.mp4,BACKPACK1,G_03_091
P40,5346957049353451-WE.mp4,WE,G_03_019
P40,3237841089626472-DOWNHILL.mp4,DOWNHILL,H_03_012
P40,8673853297757075-JUICE 2.mp4,JUICE1,G_03_035
P40,7275461608600278-SCOLD.mp4,SCOLD,H_01_008
P40,8342259238668124-POWDER.mp4,POWDER,H_01_026
P40,2501721560408141-SOCIAL.mp4,SOCIAL,H_03_030
P40,2746482938137922-CAPTURE.mp4,CAPTURE,H_03_048
P40,7476109931780017-PONDER.mp4,PONDER,H_01_043
P40,33372376790577385-JOKE.mp4,JOKE,G_03_086
P40,8763478538813974-SOCIETY.mp4,SOCIETY,H_01_002
P40,6019042581182006-WATERDROP.mp4,WATERDROP,H_01_019
P40,931782741467386-ANYONE.mp4,ANYONE,H_01_059
P40,5418273984027029-CEMETERY.mp4,CEMETERY,H_01_037
P40,3810108088744719-FAIL.mp4,FAIL,H_01_077
P40,62432102043786-KNIGHT.mp4,KNIGHT1,H_01_054
P40,3140572918045199-ALL OF_SUDDEN.mp4,ALLOFSUDDEN,H_01_096
P40,26442801372084057-TOTAL.mp4,TOTAL,H_01_071
P40,613903843341741-COOL 3.mp4,COOL3,H_03_099
P40,19185527558933835-LONG AGO.mp4,LONGAGO,J_01_026
P40,6459252267958286-BECOME.mp4,BECOME,H_02_008
P40,047964805851413495-IMPROVE.mp4,IMPROVE,H_02_003
P40,5908448341148838-UNCERTAIN.mp4,UNCERTAIN,H_02_020
P40,9778046529233306-GREET.mp4,GREET1,J_01_042
P40,3909940550052129-PROPOSE.mp4,PROPOSE,H_02_026
P40,19744460835584432-TOSS OUT.mp4,TOSSOUT,H_02_037
P40,5406966366518051-SQUARE.mp4,SQUARE,J_01_060
P40,8884945458417148-PACK.mp4,PACK,H_02_060
P40,7535449770372906-THANK YOU.mp4,THANKYOU,H_02_053
P40,6169165591640462-EACH OTHER.mp4,EACHOTHER,H_02_076
P40,8331521549475343-PRECIOUS.mp4,PRECIOUS,H_02_071
P40,4685262003433257-WILL GO.mp4,WILLGO,J_01_095
P40,26779769878453363-LAY DOWN.mp4,LAYDOWN,J_02_004
P40,9119750137106359-PARANOID.mp4,PARANOID,J_02_021
P40,2063128811266226-ALASKA.mp4,ALASKA,H_02_087
P40,39878139372685606-EXPERIMENT.mp4,EXPERIMENT,H_03_002
P40,5819018923811163-ARTICLE.mp4,ARTICLE,J_02_041
P40,030163845009707257-EVERY NIGHT.mp4,EVERYNIGHT,J_02_058
P40,8019317290688388-GET TOGETHER.mp4,GETTOGETHER,J_02_073
P40,4883233656549113-STORY 3.mp4,STORY1,H_03_007
P40,09913910553280747-REMOVE.mp4,REMOVE,J_02_092
P40,7735436577579549-MOSQUITO.mp4,MOSQUITO,H_03_053
P40,23935932871880738-BETWEEN.mp4,BETWEEN,J_03_003
P40,30802284724627316-TOY 3.mp4,TOY1,H_03_070
P40,7742371822103638-SPICY.mp4,SPICY,J_03_036
P40,6555062872975101-JEWELRY.mp4,JEWELRY,H_03_040
P40,02362800594599035-BULLSHIT.mp4,BULLSHIT,J_03_053
P40,4158330922555107-ADVANTAGE.mp4,ADVANTAGE,H_03_059
P40,9326067198560057-WHISPER.mp4,WHISPER,H_03_075
P40,6468451269888666-SIGN PAPER.mp4,SIGNPAPER,H_03_094
P40,26831740738029275-THERAPY.mp4,THERAPY,H_03_088
P40,6738805591563901-LEAVE ALONE.mp4,LEAVEALONE,H_03_105
P40,4709219515950245-COMMUNITY.mp4,COMMUNITY,J_01_015
P40,3794908792089089-CLIENT.mp4,CLIENT,J_01_031
P40,13959766874483237-BREAKFAST.mp4,BREAKFAST1,J_01_053
P40,5666202221838486-TURN.mp4,TURN,J_01_065
P40,45348925603024304-CORNER.mp4,CORNER,J_03_071
P40,23509015263340394-CASTLE 2.mp4,CASTLE2,K_01_017
P40,5224289762112848-LEND.mp4,LEND,J_01_088
P40,026708400894418727-SOPHOMORE.mp4,SOPHOMORE,J_01_107
P40,28041608305216026-SUPERVISOR.mp4,SUPERVISOR,J_02_010
P40,6928326961533751-INSTITUTE.mp4,INSTITUTE,J_02_047
P40,6619748121410192-PERCEIVE.mp4,PERCEIVE,J_02_063
P40,5395352613912254-CELEBRATE.mp4,CELEBRATE,J_02_100
P40,11167211155706291-WIDE.mp4,WIDE,J_02_052
P40,30070654019768583-PEEL 2.mp4,PEEL1,K_01_052
P40,11432147423106453-DOG.mp4,DOG1,A_01_056
P40,9184146468779903-BOWLING 2.mp4,BOWLING2,K_01_067
P40,7381855460513327-RIDE 2.mp4,RIDE1,J_03_026
P40,6336093498495587-THEORY.mp4,THEORY,J_03_042
P40,6956016227207786-SHORT WORD.mp4,SHORTWORD,J_02_087
P40,4168307048484854-LABEL.mp4,LABEL,J_02_105
P40,04939380671476301-FIRED.mp4,FIRED,J_03_058
P40,0525121513125173-DARK.mp4,DARK1,J_03_094
P40,41738678001523555-DEVOUR.mp4,DEVOUR,K_01_047
P40,8143823054520445-HATCH 2.mp4,HATCH2,K_01_007
P40,784442858510149-PILLOW 2.mp4,PILLOW2,K_01_097
P40,3665083076635902-CELLPHONE.mp4,CELLPHONE,K_01_128
P40,08028498244023075-FLASHLIGHT 3.mp4,FLASHLIGHT2,K_01_057
P40,569252532013591-LIGHT 2.mp4,LIGHT,K_01_102
P40,8674978531375388-SHIRT 2.mp4,SHIRT2,K_01_108
P40,9984110117309302-BUMPY.mp4,BUMPY,K_01_123
P40,3611339319587963-SLIP 2.mp4,SLIP1,K_02_033
P40,7913552139341871-SNEEZE 2.mp4,SNEEZE1,K_02_023
P40,5390411629840837-CLOCK 2.mp4,CLOCK1,K_02_038
P40,3635703251583551-GLASS 3.mp4,GLASS1,K_02_059
P40,02417596973931868-FRISK.mp4,FRISK,K_02_070
P40,7800294564666657-SUMMON.mp4,SUMMON,K_02_075
P40,22066071141437238-BANANA 2.mp4,BANANA2,K_02_097
P40,1455478001735404-CHERRY 2.mp4,CHERRY1,K_02_113
P40,4458090401198842-ELEVATOR 3.mp4,ELEVATOR3,K_03_002
P40,21072859884997563-STACK 2.mp4,STACK1,K_02_102
P40,461256999845691-ENVELOPE 5.mp4,ENVELOPE3,K_02_107
P40,36182318013198267-BURY 2.mp4,BURY1,K_03_018
P40,9072202582847813-ARREST 3.mp4,ARREST3,K_03_036
P40,3965534717514636-KNITTING 3.mp4,KNITTING1,K_03_013
P40,11938517772299284-SMILE 2.mp4,SMILE2,K_03_023
P40,28165779316856177-STACK 3.mp4,STACK2,K_03_069
P40,3414971948885017-SCREWDRIVER 2.mp4,SCREWDRIVER2,K_03_041
P40,7866479770462362-CLOUD 4.mp4,CLOUD3,K_03_059
P40,3719623393652336-CARROT 3.mp4,CARROT2,K_03_075
P40,736053532553147-CRACKER 2.mp4,CRACKER2,K_03_093
P40,940072121680658-VAMPIRE.mp4,VAMPIRE,K_03_123
P40,6440471350161254-POP 4.mp4,POP1,K_03_031
P40,07995519195035183-CROSS.mp4,CROSS1,C_01_067
P40,161397688937315-RAZOR 2.mp4,RAZOR2,K_03_103
P40,5685505516650793-CHERRY.mp4,CHERRY2,C_01_083
P40,46721838510936897-JACKET.mp4,JACKET1,C_02_008
P40,638988979683649-RABBIT.mp4,RABBIT1,C_02_024
P40,9665726169641298-SNOW 2.mp4,SNOW2,K_03_081
P40,4777114214367413-BENEFIT.mp4,BENEFIT,C_02_056
P40,7364724475858522-EYES.mp4,EYES,C_01_062
P40,24946258334528815-GUESS.mp4,GUESS1,D_02_013
P40,2889534487412355-DEMAND.mp4,DEMAND1,D_03_080
P40,5149945846466999-CHURCH.mp4,CHURCH,C_02_018
P40,3705689605906124-COMPUTER MOUSE.mp4,COMPUTERMOUSE,C_01_073
P40,8848744369087989-NEED.mp4,NEED,C_02_034
P40,6866053008104511-PINEAPPLE.mp4,PINEAPPLE1,C_02_088
P40,5187624262174839-BONE.mp4,BONE,C_03_015
P40,7561528652261482-CHILDREN.mp4,CHILDREN,C_02_066
P40,9249941273755868-FRUIT.mp4,FRUIT,C_02_083
P40,7882860253360209-ORDER 2.mp4,ORDER2,C_03_036
P40,17735124828998106-PROBLEM 1.mp4,PROBLEM2,C_03_010
P40,24975725380114233-WOOD.mp4,WOOD,C_03_031
P40,9141133089170674-DROP.mp4,DROP,C_03_052
P40,16759358676302494-GAME.mp4,GAME,C_03_047
P40,0955181553369353-FOREIGNER.mp4,FOREIGNER1,C_01_077
P40,6248518251977921-APPOINTMENT.mp4,APPOINTMENT,C_01_088
P40,4614534315577101-NOW.mp4,NOW,C_03_062
P40,9397014726055648-SCROLL DOWN.mp4,SCROLLDOWN,C_03_084
P40,6435134382056891-EGO.mp4,EGO,D_01_014
P40,051465824178710706-TELL.mp4,TELL,C_02_013
P40,1780082548619053-SOUTH.mp4,SOUTH,C_02_029
P40,6904994586261741-GOSSIP.mp4,GOSSIP,D_01_029
P40,7815897175027569-YESTERDAY.mp4,YESTERDAY,D_01_024
P40,6225262610729481-BALANCE.mp4,BALANCE,C_02_046
P40,09797934187757074-CALL.mp4,CALL1,C_02_061
P40,8994479452363924-AGREEMENT.mp4,AGREEMENT,C_02_078
P40,6871058555020562-DIRTY.mp4,DIRTY,C_03_026
P40,5082858473744953-NO.mp4,NO,C_03_041
P40,8861231668594451-CANOE.mp4,CANOE,D_01_045
P40,7596782937972923-TEST.mp4,TEST,D_01_060
P40,8006343369425069-TEETH.mp4,TEETH,D_01_040
P40,5410039699158458-KID.mp4,KID,C_03_057
P40,33093247095464684-GIRL.mp4,GIRL,C_03_073
P40,10857326791414024-BOAT.mp4,BOAT,D_01_055
P40,16884356585373195-EASY.mp4,EASY,D_01_070
P40,3380520143388104-SCHOOL.mp4,SCHOOL,C_03_089
P40,142382602529187-IDEA.mp4,IDEA,D_01_085
P40,14947715658058014-THERMOMETER.mp4,THERMOMETER,D_02_012
P40,23295455480851857-LET KNOW.mp4,LETKNOW,D_02_028
P40,11867852244398991-PREACHER.mp4,PREACHER,D_01_019
P40,09480001149764816-MEET.mp4,MEET,D_02_018
P40,5882028078956663-ZIPPER.mp4,ZIPPER,D_01_034
P40,5739657937248839-MATCH.mp4,MATCH,D_01_050
P40,7886729880176198-FAUCET.mp4,FAUCET,D_01_065
P40,727797349899711-FORFEIT.mp4,FORFEIT,D_02_038
P40,36626645710568106-NEWSPAPER.mp4,NEWSPAPER,D_02_053
P40,6989402826625473-GOD.mp4,GOD,D_02_068
P40,3844148444722406-FULL.mp4,FULL,D_02_048
P40,3845231217942484-FRIEND.mp4,FRIEND,D_03_010
P40,5307030948600251-WIFE.mp4,WIFE,D_03_025
P40,24974615015650947-CRAZY.mp4,CRAZY,D_03_040
P40,5677482375653258-DRAW.mp4,DRAW,D_02_063
P40,27759670594914465-CAR.mp4,CAR,D_02_043
P40,45594209879187875-FRANCE.mp4,FRANCE,D_02_078
P40,182409169478295-AMAZING.mp4,AMAZING,D_02_093
P40,061936510841636094-BEAT.mp4,BEAT,D_03_020
P40,3534400142419516-TOOTHBRUSH.mp4,TOOTHBRUSH,D_03_073
P40,8306237547328505-EXCUSE.mp4,EXCUSE,D_03_052
P40,16968758786823446-REVENGE.mp4,REVENGE,D_03_088
P40,6833661881907038-DOWNSIZE.mp4,DOWNSIZE1,C_01_055
P40,4465135859623439-LESSON.mp4,LESSON,D_03_083
P40,18037166509849722-SARCASTIC.mp4,SARCASTIC,E_01_005
P40,5342879318630827-YUCKY.mp4,YUCKY,E_01_011
P40,45107006465931687-PLUG.mp4,PLUG1,E_01_022
P40,45360553116056135-NUT.mp4,NUT1,D_02_073
P40,20127670054735236-AVOID.mp4,AVOID,E_01_040
P40,14857041755268563-FED UP.mp4,FEDUP,E_01_047
P40,9404479880375034-BYE.mp4,BYE,E_01_058
P40,008334911275535983-END.mp4,END,E_01_074
P40,599008798019109-GERMANY.mp4,GERMANY,D_02_088
P40,835941664310544-LET ME_SEE.mp4,LETMESEE,E_01_092
P40,25349602618374245-NIECE.mp4,NIECE,E_01_080
P40,8335625687320589-BUT.mp4,BUT,D_03_030
P40,17556925442961546-BUDGET.mp4,BUDGET,E_01_099
P40,0019458289228719838-SEQUENCE.mp4,SEQUENCE,E_02_008
P40,42899833130683573-ROCKET 1.mp4,ROCKET1,E_01_016
P40,45974359533467624-WASH 1.mp4,WASH1,E_01_033
P40,7360418673995492-SPONTANEOUS.mp4,SPONTANEOUS,E_02_024
P40,9246436366130377-FACE.mp4,FACE,E_01_053
P40,2863257536366659-TICKET.mp4,TICKET,E_02_029
P40,5208380221303042-MOST.mp4,MOST,E_01_085
P40,6207041749303615-FREEDOM.mp4,FREEDOM,E_02_001
P40,6776054154751192-CUT 1.mp4,CUT,E_02_046
P40,2111386793579384-BUSY.mp4,BUSY,E_02_040
P40,531241969487003-LOLLIPOP.mp4,LOLLIPOP,E_02_095
P40,7094121960088806-DEPRESS.mp4,DEPRESS,E_02_059
P40,6371396620489889-FLOAT.mp4,FLOAT3,E_03_043
P40,26689261591142355-PROOF.mp4,PROOF,E_02_019
P40,7581793606805043-DISRUPT.mp4,DISRUPT,E_03_076
P40,22148353752737537-CAMERAMAN.mp4,CAMERAMAN,E_02_034
P40,48605335562768315-DRIVE.mp4,DRIVE,E_02_053
P40,4599940680744705-BEANS.mp4,BEANS,E_02_069
P40,1434349775005772-PIZZA 2.mp4,PIZZA2,E_02_085
P40,4716209539695517-SHARE.mp4,SHARE,E_02_101
P40,8750056311438137-SLAVE.mp4,SLAVE,E_03_094
P40,9539744052316363-INTUITIVE.mp4,INTUITIVE,F_01_006
P40,15583842324081232-ON.mp4,ON,E_03_004
P40,01575906812099359-TRUTH.mp4,TRUTH,E_03_015
P40,22151283011808554-VANILLA.mp4,VANILLA,F_01_022
P40,9151460001087668-COST.mp4,COST,E_03_020
P40,5700407311251623-ROOF.mp4,ROOF,F_01_039
P40,05089872608413626-SNEAK ADVENTURE.mp4,SNEAKADVENTURE,F_01_057
P40,3570222124406002-LOUSY.mp4,LOUSY,F_01_074
P40,8441043604725313-FUNNY.mp4,FUNNY,E_03_038
P40,752385671850688-SKIN.mp4,SKIN,F_01_091
P40,8642316172083411-LOOK FORWARD.mp4,LOOKFORWARD,F_02_022
P40,4001283150525985-SWIM.mp4,SWIM1,E_03_053
P40,3180685106985577-GOAL.mp4,GOAL,E_03_048
P40,8911976032426165-OUTSIDE.mp4,OUTSIDE,E_03_071
P40,7599782059880507-ORANGE THROAT.mp4,ORANGETHROAT,F_02_039
P40,29515855219404497-ORANGE EYES.mp4,ORANGEEYES,E_03_087
P40,08105598822367299-ANSWER.mp4,ANSWER,E_03_065
P40,20852329611395937-DISCUSS.mp4,DISCUSS,E_03_081
P40,17128261239352982-ROBOT.mp4,ROBOT,F_01_034
P40,9337064031272435-MELT.mp4,MELT,F_01_050
P40,6911483999978041-SUCK.mp4,SUCK,F_01_012
P40,8115249297063862-ROUGH.mp4,ROUGH,F_01_028
P40,3950711714142374-PET.mp4,PET1,F_01_063
P40,23321177794879588-SIGNATURE.mp4,SIGNATURE,F_01_069
P40,6735558330423335-GRAY.mp4,GRAY,F_01_080
P40,9058683859887124-HEAVY.mp4,HEAVY,F_01_085
P40,05804557658914389-HURDLE-TRIP.mp4,HURDLE/TRIP1,G_01_036
P40,3655968983833715-CLIMB LADDER.mp4,CLIMBLADDER,F_01_103
P40,46079903240496867-SNAP.mp4,SNAP,F_02_017
P40,30769191586183053-ISOLATED.mp4,ISOLATED,F_02_033
P40,3034247461648141-MAILMAN.mp4,MAILMAN,F_02_082
P40,9815871847220503-BET.mp4,BET,F_02_027
P40,542387932769369-DISTRACTED.mp4,DISTRACTED,F_02_098
P40,883239213455199-FREEZE.mp4,FREEZE,F_03_010
P40,119693515616218-WILL.mp4,WILL,F_03_025
P40,22816862341146416-MEMBER.mp4,MEMBER,F_02_046
P40,15987152242950264-BEST.mp4,BEST,F_02_062
P40,9105274408150312-BAT 1.mp4,BAT2,F_03_043
P40,7886073087627623-MURDER.mp4,MURDER,F_02_077
P40,48852938778695965-LIKE.mp4,LIKE,F_03_063
P40,014399429252126783-OVER.mp4,OVER,F_03_079
P40,11714827881944534-DYE.mp4,DYE,F_02_092
P40,2157720030733732-DRY.mp4,DRY,F_03_005
P40,746884857630183-DICTIONARY.mp4,DICTIONARY,F_03_035
P40,07434472987201102-TAN.mp4,TAN,F_02_072
P40,2595760307657029-THEY.mp4,THEY1,F_02_103
P40,11734442383790955-THUNDER.mp4,THUNDER,F_03_015
P40,9079150432920042-RED FACED.mp4,REDFACED,F_03_030
P40,3874900668022614-FAN.mp4,FAN,F_03_055
P40,9057593060657476-Q TIP.mp4,QTIP,F_03_074
P40,754174081917842-SCAR MEMORY.mp4,SCARMEMORY,F_03_089
P40,1847737055607681-LIMITED.mp4,LIMITED,G_01_003
P40,8853802136949456-SIGNING FLUENTLY.mp4,SIGNINGFLUENTLY,F_03_069
P40,37474758827881094-STARE.mp4,STARE,G_01_034
P40,582323650762931-THOUGHT DISAPPEAR.mp4,THOUGHTDISAPPEAR,G_01_051
P40,574135060517232-EVERYTHING.mp4,EVERYTHING,F_03_084
P40,999123603635413-SO.mp4,SO,G_01_069
P40,4501768861955957-STADIUM.mp4,STADIUM,G_01_086
P40,2801327557552975-THINK PENETRATE.mp4,THINKPENETRATE,G_01_039
P40,14052296225070893-BACKPACK.mp4,BACKPACK1,G_03_091
P40,9067099373014491-CHOKE.mp4,CHOKE,G_01_079
P40,8911814027727771-GREEN BEANS.mp4,GREENBEANS,G_02_001
P40,7838187946810775-TOGETHER.mp4,TOGETHER,G_01_097
P40,27059643717991366-VAIN.mp4,VAIN,G_02_017
P40,8110284429664787-COMPASS.mp4,COMPASS,G_02_012
P40,9784190419934637-NERVE.mp4,NERVE,G_02_045
P40,09223742662600642-BOW 2.mp4,BOW2,G_02_063
P40,5890286627161592-FRAME.mp4,FRAME,G_02_034
P40,7170327719525225-INSPIRE.mp4,INSPIRE,G_02_051
P40,9658452924914089-FOLLOW 1.mp4,FOLLOW2,G_01_058
P40,7372492030486306-CLAW.mp4,CLAW,G_02_071
P40,03115270349603283-HAHA.mp4,HAHA,G_02_103
P40,8388789916018351-GOATEE.mp4,GOATEE,G_01_074
P40,07267045149513152-IF.mp4,IF,G_03_017
P40,5459254713530837-STAMP 1.mp4,STAMP1,G_02_098
P40,3227427763344013-SPREAD 1.mp4,SPREAD1,G_03_012
P40,6710147339257997-STRAW.mp4,STRAW,G_01_092
P40,16831173387324583-STRONG.mp4,STRONG,G_03_027
P40,7431245791553516-PUT ASIDE.mp4,PUTASIDE,G_02_007
P40,16187292252747598-WISE.mp4,WISE,G_02_023
P40,8255311360124704-TEMPORARY.mp4,TEMPORARY,G_03_067
P40,6904871228501732-FAINT.mp4,FAINT,G_03_046
P40,902671562034884-EVIDENCE.mp4,EVIDENCE,G_03_103
P40,25932604034382734-EDIT.mp4,EDIT1,G_02_057
P40,4155326382090698-DISCONNECT.mp4,DISCONNECT,H_01_017
P40,7757020413685858-INVISIBLE.mp4,INVISIBLE,G_03_078
P40,826620411833638-THESE.mp4,THESE,G_03_095
P40,10538812985245771-CHEW 1.mp4,CHEW2,G_02_091
P40,591310425519902-POSTPONE.mp4,POSTPONE,H_01_012
P40,8677145503168626-JUICE 1.mp4,JUICE2,G_03_022
P40,21837077397712124-PRINCIPAL.mp4,PRINCIPAL,H_01_030
P40,7735756960913593-JOIN.mp4,JOIN,G_03_039
P40,7281814460614704-SMOKE.mp4,SMOKE,H_01_046
P40,2732063198914938-REFUSE.mp4,REFUSE,H_01_062
P40,4179271864834424-STRUCTURE.mp4,STRUCTURE,H_01_035
